frame,time,cell_id,row,col
8,1.2,19,26,7
8,1.2,12,27,48
8,1.2,4,32,25
8,1.2,20,34,9
8,1.2,2,35,20
8,1.2,1,35,38
8,1.2,8,38,35
8,1.2,6,39,32
8,1.2,3,44,29
8,1.2,18,45,7
8,1.2,5,46,8
8,1.2,9,46,22
8,1.2,10,49,9
8,1.2,7,49,13
9,1.3499999999999999,21,1,30
9,1.3499999999999999,17,2,4
9,1.3499999999999999,15,6,47
9,1.3499999999999999,11,9,10
9,1.3499999999999999,24,10,27
9,1.3499999999999999,25,11,35
9,1.3499999999999999,23,15,26
9,1.3499999999999999,22,15,32
9,1.3499999999999999,14,17,30
9,1.3499999999999999,13,21,34
9,1.3499999999999999,16,25,7
9,1.3499999999999999,19,26,7
9,1.3499999999999999,12,27,48
9,1.3499999999999999,4,32,25
9,1.3499999999999999,20,33,9
9,1.3499999999999999,2,34,20
9,1.3499999999999999,1,35,38
9,1.3499999999999999,8,38,35
9,1.3499999999999999,6,39,31
9,1.3499999999999999,3,44,29
9,1.3499999999999999,18,45,7
9,1.3499999999999999,5,45,8
9,1.3499999999999999,9,46,22
9,1.3499999999999999,10,49,9
9,1.3499999999999999,7,49,13
10,1.5,21,1,30
10,1.5,17,2,4
10,1.5,15,6,47
10,1.5,11,9,10
10,1.5,24,10,27
10,1.5,25,11,35
10,1.5,23,15,26
10,1.5,22,15,32
10,1.5,14,17,30
10,1.5,13,21,34
10,1.5,16,25,6
10,1.5,19,26,7
10,1.5,12,27,48
10,1.5,4,31,25
10,1.5,20,34,9
10,1.5,2,34,20
10,1.5,1,35,38
10,1.5,8,38,35
10,1.5,6,39,31
10,1.5,18,44,7
10,1.5,3,44,29
10,1.5,5,45,8
10,1.5,9,46,22
10,1.5,10,49,10
10,1.5,7,49,14
11,1.65,21,1,30
11,1.65,17,2,4
11,1.65,15,5,47
11,1.65,11,8,10
11,1.65,24,10,27
11,1.65,25,11,35
11,1.65,23,15,26
11,1.65,22,15,33
11,1.65,14,17,30
11,1.65,13,21,33
11,1.65,16,25,6
11,1.65,19,26,8
11,1.65,12,27,48
11,1.65,4,31,25
11,1.65,20,34,10
11,1.65,2,34,20
11,1.65,1,35,38
11,1.65,8,38,35
11,1.65,6,39,31
11,1.65,3,43,29
11,1.65,18,44,7
11,1.65,5,45,8
11,1.65,9,46,22
11,1.65,10,49,10
11,1.65,7,49,14
12,1.7999999999999998,21,1,30
12,1.7999999999999998,17,2,4
12,1.7999999999999998,15,6,47
12,1.7999999999999998,11,8,10
12,1.7999999999999998,24,10,27
12,1.7999999999999998,25,10,35
12,1.7999999999999998,23,15,25
12,1.7999999999999998,22,15,33
12,1.7999999999999998,14,17,29
12,1.7999999999999998,13,21,33
12,1.7999999999999998,16,25,6
12,1.7999999999999998,19,26,9
12,1.7999999999999998,12,27,48
12,1.7999999999999998,4,31,25
12,1.7999999999999998,20,34,10
12,1.7999999999999998,2,34,20
12,1.7999999999999998,1,35,38
12,1.7999999999999998,8,38,35
12,1.7999999999999998,6,39,31
12,1.7999999999999998,3,43,29
12,1.7999999999999998,18,44,8
12,1.7999999999999998,5,45,9
12,1.7999999999999998,9,46,22
12,1.7999999999999998,10,49,10
